,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
ema9_vs_ema21,-0.11278748200074432,-0.14876032360269173,-0.1759050968654895,-0.19137712784754196,-0.20950795204959377,-0.23003576805224543,-0.24285787120070648,-0.2501910826121054,-0.2608324437074699,-0.26708257505218697,-0.2725549970241573,-0.27525440215110886,-0.2741251752488733,-0.2693923176727046,-0.2614392722697625,-0.2518706041599576,-0.24429724628448682,-0.2355854070111143,-0.228485036094199,-0.22253642977820723,-0.2197179638701604,-0.21770265255446344,-0.21747143108956868,-0.21946524998981404,-0.21680558940599856,-0.21432833652699082,-0.2125222800618593,-0.21397573843397288,-0.22082851600815576,-0.2262719553984341
ema21_vs_ema55,-0.06257288860812477,-0.08943504223416517,-0.11252289843862462,-0.12466344500672205,-0.13372525142004657,-0.143098892043818,-0.15341854352297335,-0.15896361735975723,-0.16345694093811589,-0.1642495400242052,-0.1637156574764844,-0.1659016486514838,-0.16606421909522276,-0.166452118961283,-0.16536223686543566,-0.16395285338538498,-0.16395219281694742,-0.16286978371002767,-0.16448272466131272,-0.16447410663681755,-0.16643642987657317,-0.1703363473629274,-0.17702289540588884,-0.18261542289021557,-0.18407397810310333,-0.1849323257446073,-0.18665330234614042,-0.18956166617133235,-0.1930621426809817,-0.19445804500205313
ema50_vs_ema200,-0.02908176903100587,-0.0417288629600138,-0.05666291796926663,-0.06820520829576875,-0.07401652108301462,-0.07864424850654636,-0.08546651912922958,-0.0911405557494721,-0.09550432851072599,-0.09883086138721484,-0.10053134552188833,-0.1055458232153698,-0.10715927270499415,-0.1109071910788372,-0.11613052791622668,-0.12147034925969351,-0.12242235784433034,-0.12222129276982015,-0.12567724547167222,-0.12910590902718452,-0.13302208710967206,-0.1377628276089299,-0.14451545850790748,-0.1491397441454036,-0.15051257617842595,-0.15330797544925542,-0.15643582311699963,-0.15952516984265003,-0.16113444910737793,-0.16192149280122645
macd_hist,-0.07941553209359209,-0.10702015087182086,-0.12367084435675217,-0.13851190630837756,-0.1535992538920965,-0.17014671992198593,-0.183961208058795,-0.19864383593175536,-0.21278732368970746,-0.22406918681314406,-0.23714433535739612,-0.2470668558391066,-0.2531408437565491,-0.25320474429624495,-0.2506302354975425,-0.24509552649222704,-0.24180016487091374,-0.23275006400176212,-0.22000784434270027,-0.21068055188304943,-0.20128718462004133,-0.19246845278772434,-0.1821794247059533,-0.17566651007617007,-0.16765923160106216,-0.1609356644007269,-0.15467739614103374,-0.14759630081770772,-0.14437248592721086,-0.14548502850707556
macd_vs_signal,-0.024653428817408507,-0.028778082431169354,-0.040965070669601165,-0.04280430698182093,-0.0541810978771904,-0.059006359659026494,-0.07082723328701264,-0.0696646502480444,-0.07114399239799679,-0.062839423261948,-0.06546230219500233,-0.07907992279845018,-0.08311114392844295,-0.08312806494456874,-0.08368970097810756,-0.07306228815109317,-0.0713392448624367,-0.06547529510308436,-0.059521745477679855,-0.05411217467847999,-0.05758432090320001,-0.06204223931441628,-0.06475609821473668,-0.059672623877686654,-0.04961712894793729,-0.04138596662024518,-0.03422103205326046,-0.02200751509689912,-0.015691223620780622,-0.01910905670229819
rsi_7,-0.05637540179094087,-0.09261097260056825,-0.11002270697102882,-0.12750443562807925,-0.13105832920525043,-0.13711312450722557,-0.15358095416655754,-0.17162897833515184,-0.18758251223241218,-0.19781441472357167,-0.21290248439074597,-0.23160759987464202,-0.24295133047565315,-0.24706869058977984,-0.2455133404107863,-0.24228003713953955,-0.2426842447436274,-0.2387959417493419,-0.2332027939482297,-0.22959182195092276,-0.22305674730077105,-0.21621367529683083,-0.21331313644136368,-0.2074793333305337,-0.19595268447738426,-0.18666340060221842,-0.171999599606548,-0.16747076214976453,-0.16253943634875725,-0.15552074237057487
rsi_14,-0.11052303588099742,-0.1493301961080174,-0.1738404702564626,-0.19417974329602936,-0.2144801720369343,-0.22733413601456184,-0.23916355735338776,-0.24745765400380135,-0.2568311018915536,-0.2620234303397719,-0.26802374190144324,-0.2767224647247617,-0.2846631928102834,-0.28196867882841564,-0.2768452070476548,-0.27344422181424793,-0.2701197068167439,-0.25856158015682185,-0.2445616450917294,-0.22920741782331308,-0.22216253613885537,-0.2163536351099027,-0.21092100021763252,-0.2111339395231114,-0.2040453243661475,-0.1974280281511187,-0.19131846083689344,-0.18841650482185734,-0.1909121364454024,-0.1914839598534113
rsi_21,-0.09861561333167924,-0.13800804306177353,-0.16285183280948543,-0.1733875287356738,-0.18660315990013074,-0.2009414221900908,-0.2031955471711333,-0.20624458547804686,-0.21727724210414778,-0.21743909346516788,-0.21520067601422363,-0.21650943426724278,-0.21390326516217809,-0.21177732438256633,-0.20683817061622495,-0.1986515177607521,-0.19649741212391214,-0.18962118794219343,-0.18101289726706665,-0.17982491347068857,-0.18105239525783556,-0.18299727651323622,-0.1849998829145692,-0.1893451120616344,-0.1886193280428334,-0.18843477373746775,-0.18546299005768846,-0.18726436513482622,-0.19255384271195214,-0.19429347310311568
rsi_divergence,-0.04185060100712205,-0.05345537969589709,-0.057964896065176574,-0.07157620696007398,-0.0793414194367068,-0.08424042239576314,-0.08670686304470215,-0.08892998760218307,-0.10369222937038061,-0.11903209701603548,-0.13029908040952567,-0.1461312641167911,-0.16622450347381915,-0.17147681854534277,-0.1765999593902539,-0.1777449313308954,-0.17871204816238995,-0.1732889418535093,-0.1656768257436197,-0.1596686009331161,-0.16183441903599516,-0.15920910828843696,-0.14725417625261353,-0.1357258433769422,-0.12541433279893574,-0.11588788541341699,-0.1066258467152564,-0.10020393165750961,-0.09474237343225698,-0.0959685596270873
stoch_k,-0.07947694876915784,-0.12270870176189723,-0.14729537344800772,-0.16335050708976537,-0.17218786561069252,-0.18720535453080078,-0.20615381165626442,-0.22206751709253103,-0.23318621406666323,-0.23963122814930157,-0.24858469820129558,-0.2598231540610395,-0.27733919738005824,-0.286625126989866,-0.28912362582739265,-0.2865179765868055,-0.28695034386660884,-0.2806476889260527,-0.2670767041141955,-0.2549788099017704,-0.24365465961780697,-0.23664720611677728,-0.23064436688016107,-0.22570027431849934,-0.21765738944824384,-0.20929640234981295,-0.20029820704291068,-0.19568749376317848,-0.19219813155999993,-0.18630220317204277
stoch_d,-0.09638529639151647,-0.12750841183969008,-0.1449712762735654,-0.15931686462318242,-0.1788470867752371,-0.20060649105412903,-0.21699671323381797,-0.22777270222065102,-0.236597377338109,-0.2451506078662624,-0.2597159825792156,-0.2721169174396494,-0.28018562656596346,-0.2831155651482679,-0.2832607973568029,-0.2790152218242243,-0.2741710860788007,-0.26344892130809855,-0.24932441410798942,-0.23681870794765306,-0.2270073114180382,-0.22051782753341134,-0.21469941417987873,-0.21075375351304626,-0.20291748380784902,-0.1979465160298653,-0.19364435485604337,-0.18666788509418986,-0.18327014494731259,-0.1851801995183037
