entry_time,exit_time,direction,entry,exit,sl,target,pnl,result,strategy
2026-03-24 12:49:00+05:30,2026-03-24 12:57:00+05:30,LONG,52769.15,52679.49,52679.49,52948.47,-89.66,SL,BankNifty|1m|S06_ORB
2026-03-24 12:59:00+05:30,2026-03-24 13:03:00+05:30,LONG,52688.8,52594.27,52594.27,52877.86,-94.53,SL,BankNifty|1m|S06_ORB
2026-03-24 13:05:00+05:30,2026-03-24 13:15:00+05:30,LONG,52587.35,52771.34,52495.36,52771.34,183.99,TP,BankNifty|1m|S06_ORB
2026-03-24 13:17:00+05:30,2026-03-24 13:37:00+05:30,LONG,52747.55,52923.41,52659.62,52923.41,175.86,TP,BankNifty|1m|S06_ORB
2026-03-24 13:39:00+05:30,2026-03-24 13:48:00+05:30,LONG,52867.2,52805.42,52805.42,52990.77,-61.78,SL,BankNifty|1m|S06_ORB
2026-03-24 13:50:00+05:30,2026-03-24 14:15:00+05:30,LONG,52692.65,52843.27,52617.34,52843.27,150.62,TP,BankNifty|1m|S06_ORB
2026-03-24 14:17:00+05:30,2026-03-24 14:19:00+05:30,LONG,52828.3,52753.19,52753.19,52978.53,-75.11,SL,BankNifty|1m|S06_ORB
2026-03-24 14:21:00+05:30,2026-03-24 14:21:00+05:30,LONG,52770.3,52687.0,52687.0,52936.91,-83.3,SL,BankNifty|1m|S06_ORB
2026-03-24 14:23:00+05:30,2026-03-24 14:37:00+05:30,LONG,52735.9,52644.73,52644.73,52918.23,-91.17,SL,BankNifty|1m|S06_ORB
2026-03-24 14:39:00+05:30,2026-03-24 15:15:00+05:30,LONG,52599.05,52527.44,52527.44,52742.27,-71.61,SL,BankNifty|1m|S06_ORB
2026-03-24 15:17:00+05:30,2026-03-24 15:19:00+05:30,LONG,52497.55,52636.64,52428.0,52636.64,139.09,TP,BankNifty|1m|S06_ORB
2026-03-24 15:21:00+05:30,2026-03-24 15:29:00+05:30,LONG,52648.0,52745.65,52572.93,52798.14,97.65,EOD,BankNifty|1m|S06_ORB
2026-03-25 09:22:00+05:30,2026-03-25 10:43:00+05:30,LONG,53496.4,53762.08,53363.56,53762.08,265.68,TP,BankNifty|1m|S06_ORB
2026-03-25 10:45:00+05:30,2026-03-25 11:07:00+05:30,LONG,53851.0,53960.82,53796.09,53960.82,109.82,TP,BankNifty|1m|S06_ORB
2026-03-25 11:09:00+05:30,2026-03-25 11:12:00+05:30,LONG,53987.6,53939.74,53939.74,54083.33,-47.87,SL,BankNifty|1m|S06_ORB
2026-03-25 11:14:00+05:30,2026-03-25 11:22:00+05:30,LONG,53962.5,53913.9,53913.9,54059.7,-48.6,SL,BankNifty|1m|S06_ORB
2026-03-25 11:24:00+05:30,2026-03-25 11:36:00+05:30,LONG,53876.65,53834.1,53834.1,53961.74,-42.55,SL,BankNifty|1m|S06_ORB
2026-03-25 11:38:00+05:30,2026-03-25 11:38:00+05:30,LONG,53778.35,53722.89,53722.89,53889.28,-55.46,SL,BankNifty|1m|S06_ORB
2026-03-25 11:40:00+05:30,2026-03-25 11:48:00+05:30,LONG,53738.95,53878.78,53669.03,53878.78,139.83,TP,BankNifty|1m|S06_ORB
2026-03-25 11:50:00+05:30,2026-03-25 12:13:00+05:30,LONG,53901.0,54054.02,53824.49,54054.02,153.02,TP,BankNifty|1m|S06_ORB
2026-03-25 12:15:00+05:30,2026-03-25 12:17:00+05:30,LONG,54095.3,54041.49,54041.49,54202.93,-53.81,SL,BankNifty|1m|S06_ORB
2026-03-25 12:19:00+05:30,2026-03-25 12:25:00+05:30,LONG,54078.0,54020.44,54020.44,54193.11,-57.56,SL,BankNifty|1m|S06_ORB
2026-03-25 12:27:00+05:30,2026-03-25 12:34:00+05:30,LONG,54025.25,54130.66,53972.55,54130.66,105.41,TP,BankNifty|1m|S06_ORB
2026-03-25 12:36:00+05:30,2026-03-25 12:39:00+05:30,LONG,54088.55,54034.74,54034.74,54196.17,-53.81,SL,BankNifty|1m|S06_ORB
2026-03-25 12:41:00+05:30,2026-03-25 12:49:00+05:30,LONG,54031.85,53982.39,53982.39,54130.78,-49.46,SL,BankNifty|1m|S06_ORB
2026-03-25 12:51:00+05:30,2026-03-25 12:54:00+05:30,LONG,53928.35,53878.65,53878.65,54027.75,-49.7,SL,BankNifty|1m|S06_ORB
2026-03-25 12:56:00+05:30,2026-03-25 12:57:00+05:30,LONG,53917.2,53864.57,53864.57,54022.46,-52.63,SL,BankNifty|1m|S06_ORB
2026-03-25 12:59:00+05:30,2026-03-25 13:06:00+05:30,LONG,53850.8,53964.7,53793.85,53964.7,113.89,TP,BankNifty|1m|S06_ORB
2026-03-25 13:08:00+05:30,2026-03-25 13:09:00+05:30,LONG,53941.95,53884.47,53884.47,54056.9,-57.48,SL,BankNifty|1m|S06_ORB
2026-03-25 13:11:00+05:30,2026-03-25 13:19:00+05:30,LONG,53915.45,53856.16,53856.16,54034.02,-59.29,SL,BankNifty|1m|S06_ORB
2026-03-25 13:21:00+05:30,2026-03-25 13:27:00+05:30,LONG,53843.4,53948.86,53790.67,53948.86,105.46,TP,BankNifty|1m|S06_ORB
2026-03-25 13:29:00+05:30,2026-03-25 13:31:00+05:30,LONG,53961.3,53903.27,53903.27,54077.37,-58.03,SL,BankNifty|1m|S06_ORB
2026-03-25 13:33:00+05:30,2026-03-25 13:38:00+05:30,LONG,53896.3,54019.61,53834.65,54019.61,123.31,TP,BankNifty|1m|S06_ORB
2026-03-25 13:40:00+05:30,2026-03-25 14:13:00+05:30,LONG,53993.6,53930.01,53930.01,54120.79,-63.59,SL,BankNifty|1m|S06_ORB
2026-03-25 14:15:00+05:30,2026-03-25 14:21:00+05:30,LONG,53915.7,53858.43,53858.43,54030.24,-57.27,SL,BankNifty|1m|S06_ORB
2026-03-25 14:23:00+05:30,2026-03-25 14:24:00+05:30,LONG,53798.25,53740.71,53740.71,53913.33,-57.54,SL,BankNifty|1m|S06_ORB
2026-03-25 14:26:00+05:30,2026-03-25 15:00:00+05:30,LONG,53791.55,53731.0,53731.0,53912.65,-60.55,SL,BankNifty|1m|S06_ORB
2026-03-25 15:02:00+05:30,2026-03-25 15:02:00+05:30,LONG,53645.65,53767.31,53584.82,53767.31,121.66,TP,BankNifty|1m|S06_ORB
