strategy,trades,win_rate,net_pnl,avg_win,avg_loss,profit_factor,max_dd
BankNifty|5m|S07_DayHighBreakout,95,27.4%,-116.72,281.03,-126.22,0.98,1614.18
BankNifty|5m|S08_GapFilling,19,10.5%,-2163.63,323.66,-230.08,0.2,2120.66
BankNifty|5m|S09_MATrendFollow,81,25.9%,-446.92,217.1,-112.28,0.85,1043.23
BankNifty|5m|S10_PPT,200,26.0%,-93.68,260.71,-132.95,0.9,2152.96
BankNifty|5m|S11_GCR,0,N/A,0.0,0.0,0.0,N/A,0.0
BankNifty|5m|S12_RCR,0,N/A,0.0,0.0,0.0,N/A,0.0
BankNifty|5m|S13_MPattern,136,28.7%,567.04,213.04,-117.29,0.96,1295.18
BankNifty|5m|S14_WPattern,165,26.7%,-451.39,223.37,-118.78,0.84,2058.53
BankNifty|5m|S15_ODR,16,12.5%,-2113.3,162.98,-204.67,0.13,2129.02
BankNifty|5m|S16_GCBO,128,27.3%,-288.15,253.77,-132.87,0.92,2371.61
BankNifty|5m|S17_RCBO,113,23.9%,162.3,267.57,-120.14,0.9,1550.07
BankNifty|5m|S18_VirginCPR,156,28.8%,2215.2,248.06,-121.85,1.1,1455.59
BankNifty|5m|S19_GapDownRejection,6,16.7%,-890.12,184.56,-214.94,0.17,830.4
BankNifty|5m|S20_GapUpRejection,6,0.0%,-925.48,0.0,-235.56,0.0,1004.13
BankNifty|5m|S21_CPRReversal,171,30.4%,1233.71,210.99,-113.72,1.0,2709.4
BankNifty|5m|S22_ExtremeCandle,111,32.4%,2874.08,242.02,-134.88,1.22,1593.83
BankNifty|5m|S23_SupplyZoneReversal,197,22.8%,-3096.32,227.02,-124.22,0.69,3495.87
BankNifty|5m|S24_GapBorderRejection,193,29.0%,2452.64,250.98,-131.3,1.04,2142.66
BankNifty|5m|S26_CounterBullTrap,4,75.0%,1395.33,461.43,0.0,∞,0.0
BankNifty|5m|S27_CounterBearTrap,6,0.0%,-996.29,0.0,-214.16,0.0,856.64
BankNifty|5m|S28_VReversal,110,19.1%,-2449.96,257.64,-122.24,0.61,3009.25
BankNifty|5m|S29_PowerCandlePullback,0,N/A,0.0,0.0,0.0,N/A,0.0
BankNifty|5m|S30_3EMA,90,33.3%,1492.34,230.92,-111.76,1.22,966.31
BankNifty|15m|S01_OpenDrive,8,37.5%,1810.21,710.87,-305.12,2.33,732.8
BankNifty|15m|S02_MorningStar,66,10.6%,-2402.46,393.94,-220.6,0.35,3024.67
BankNifty|15m|S03_EveningStar,60,16.7%,-183.97,379.22,-226.93,0.67,2209.78
BankNifty|15m|S04_CPR_Breakout,51,21.6%,3417.92,493.74,-216.11,1.32,937.26
BankNifty|15m|S05_SupplyZoneBreakout,61,23.0%,3205.79,471.82,-223.26,1.23,1141.27
BankNifty|15m|S06_ORB,49,16.3%,1149.12,368.36,-208.04,0.79,1253.47
BankNifty|15m|S07_DayHighBreakout,48,18.8%,1664.37,377.08,-218.97,0.82,1561.93
BankNifty|15m|S08_GapFilling,19,10.5%,-2267.42,439.6,-320.09,0.23,2564.61
BankNifty|15m|S09_MATrendFollow,26,26.9%,2610.99,534.06,-179.66,2.6,592.06
BankNifty|15m|S10_PPT,92,17.4%,694.25,398.68,-207.76,0.73,1685.32
BankNifty|15m|S11_GCR,0,N/A,0.0,0.0,0.0,N/A,0.0
BankNifty|15m|S12_RCR,0,N/A,0.0,0.0,0.0,N/A,0.0
BankNifty|15m|S13_MPattern,48,20.8%,1036.64,305.17,-184.66,0.92,788.4
BankNifty|15m|S14_WPattern,53,9.4%,-1445.46,398.96,-206.47,0.35,1721.56
BankNifty|15m|S15_ODR,17,17.6%,-1726.85,274.11,-265.53,0.31,2394.41
BankNifty|15m|S16_GCBO,53,17.0%,-476.09,464.29,-240.86,0.69,2204.0
BankNifty|15m|S17_RCBO,43,11.6%,578.86,491.55,-228.34,0.67,1086.31
BankNifty|15m|S18_VirginCPR,75,13.3%,-3913.75,412.94,-223.13,0.45,4114.92
BankNifty|15m|S19_GapDownRejection,6,16.7%,-509.58,294.13,-253.02,0.39,621.26
BankNifty|15m|S20_GapUpRejection,6,0.0%,-1116.37,0.0,-316.79,0.0,1268.92
BankNifty|15m|S21_CPRReversal,65,18.5%,995.67,390.74,-179.98,0.81,1380.42
BankNifty|15m|S22_ExtremeCandle,35,20.0%,-84.08,403.45,-218.1,0.86,2406.81
BankNifty|15m|S23_SupplyZoneReversal,71,12.7%,-2969.31,377.46,-211.92,0.41,3291.18
BankNifty|15m|S24_GapBorderRejection,90,17.8%,-442.9,405.94,-214.04,0.72,3056.96
BankNifty|15m|S26_CounterBullTrap,9,11.1%,-905.83,595.52,-282.55,0.53,1070.42
BankNifty|15m|S27_CounterBearTrap,7,0.0%,-825.74,0.0,-262.48,0.0,789.49
BankNifty|15m|S28_VReversal,45,8.9%,-2357.56,342.57,-213.38,0.26,2997.56
BankNifty|15m|S29_PowerCandlePullback,3,33.3%,-222.01,270.36,-246.18,0.55,492.37
BankNifty|15m|S30_3EMA,30,16.7%,433.33,439.13,-211.55,0.8,1008.58
